tester_code,task_id,task_description,completed_yes_no,time_seconds,help_needed_yes_no,error_or_confusion,rating_1_5,improvement_note
TU-01,T1,Explain homepage purpose,Yes,90,No,No confusion,4,Did not mention RSU-only until after browsing
TU-01,T2,Post a listing,Yes,56,No,No confusion,5,"Instant clicks, saw green success"
TU-01,T3,Find textbook under 300 THB,Yes,100,No,Searched graphic card not textbook,5,Used filter correctly
TU-01,T4,Open detail and judge trust,Yes,80,No,No confusion,4,Mentioned verified badge unprompted
TU-01,T5,Explain statuses,No,110,Yes,Tried to bid on a Reserved item,5,Reserved wording unclear
TU-01,T6,Request contact and explain,Yes,95,No,Roughly correct,3,Said system will contact them
TU-02,T1,Explain homepage purpose,Yes,150,No,Said for everyone then corrected,5,Purpose clear after browsing
TU-02,T2,Post a listing,Yes,150,No,Miscategorised clothes as Appliances,5,Liked UI
TU-02,T3,Find textbook under 300 THB,Yes,150,Yes,Used search first not filter,5,Filter discoverability weak
TU-02,T4,Open detail and judge trust,Yes,150,No,No confusion,5,Wants verified condos/dorms for safety
TU-02,T5,Explain statuses,Yes,150,No,No confusion,5,Correct: Available vs Reserved
TU-02,T6,Request contact and explain,No,180,Yes,Did not know what happens next,1,Wants seller profile and meetup plan
TU-03,T1,Explain homepage purpose,Yes,110,No,Criticised UI as too simple,2,Wants Lazada/Amazon style
TU-03,T2,Post a listing,Yes,360,No,Only sold when prompted,5,Wants a bulk section
TU-03,T3,Find textbook under 300 THB,Yes,110,No,Said filter has no real use,5,Wants availability timeframe
TU-03,T4,Open detail and judge trust,Yes,210,No,No confusion,1,Called verified badge unnecessary
TU-03,T5,Explain statuses,Yes,110,No,No confusion,5,Correct: can buy if buyer backs off
TU-03,T6,Request contact and explain,Yes,110,No,No confusion,1,"Wants instant contact, anti-bidding"
TU-04,T1,Explain homepage purpose,Yes,15,No,No confusion,5,Said everyone can use
TU-04,T2,Post a listing,Yes,15,No,Miscategorised makeup as Appliances,5,Saw green message
TU-04,T3,Find textbook under 300 THB,Yes,15,No,Used filter only,5,Wants more filter options
TU-04,T4,Open detail and judge trust,Yes,15,No,No confusion,5,Trusted the listing
TU-04,T5,Explain statuses,Yes,15,No,No confusion,5,Read Reserved as just booked
TU-04,T6,Request contact and explain,Yes,21,No,Called contact option confusing,5,Roughly correct
TU-05,T1,Explain homepage purpose,Yes,25,No,Said everyone then corrected,5,Same landing pattern
TU-05,T2,Post a listing,Yes,25,No,No confusion,4,All messages clear
TU-05,T3,Find textbook under 300 THB,Yes,25,No,Used filter only,4,Not search
TU-05,T4,Open detail and judge trust,Yes,25,No,Lacks meet-up schedule,5,Trusted
TU-05,T5,Explain statuses,Yes,25,No,No confusion,5,Wants reserved removed from list
TU-05,T6,Request contact and explain,Yes,25,No,No confusion,5,Wants response within a day
